frame,expr_l2,theta_l2,expr_cosine
716,5.7293153,1.5005149,
717,5.713823,1.495671,
718,5.935482,1.4983162,
719,5.640761,1.4974068,
720,5.6715107,1.49158,
721,5.799059,1.4985728,
722,5.9082956,1.4933913,
723,5.609316,1.5082476,
724,5.191714,1.526966,
725,5.0117674,1.5351373,
726,5.6383133,1.5280756,
727,6.242104,1.5310102,
728,6.1192737,1.5286145,
729,5.410445,1.5071847,
730,5.9364066,1.4918793,
731,6.1246223,1.4966847,
732,6.8600645,1.4974742,
733,6.23545,1.4921322,
734,5.8003592,1.4896559,
735,5.89465,1.4801723,
736,6.194504,1.4831477,
737,6.2469807,1.4851338,
738,6.156732,1.4873818,
739,6.0582514,1.4880713,
740,6.0992804,1.4886782,
741,6.16534,1.4847505,
742,6.093037,1.4786566,
743,6.056002,1.4800794,
744,6.296025,1.479929,
745,6.2639184,1.4770833,
746,6.6127367,1.4676347,
747,6.5123982,1.4481872,
748,6.8403263,1.4361818,
749,6.7360578,1.4402782,
750,5.031988,1.5351373,
751,5.7333307,1.5280756,
752,6.1638484,1.5310102,
753,6.105436,1.5286145,
754,5.1401243,1.5071847,
755,5.641714,1.4918793,
756,6.1907954,1.4966847,
757,6.441607,1.4974742,
758,6.239716,1.4921322,
759,5.9579935,1.4896559,
760,6.1763525,1.4801723,
761,6.2563486,1.4831477,
762,5.9540415,1.4851338,
763,5.993451,1.4873818,
764,6.181801,1.4880713,
765,6.079035,1.4886782,
766,5.865947,1.4847505,
767,6.5387983,1.4786566,
768,5.966872,1.4800794,
769,6.2253604,1.479929,
770,6.7254715,1.4770833,
771,6.372694,1.4676347,
772,6.3854666,1.4481872,
773,7.0291276,1.4361818,
774,6.6250396,1.4402782,
775,6.212155,1.4500437,
776,5.9196763,1.4561813,
777,5.5641003,1.4677876,
778,6.0862966,1.4738017,
779,5.6360664,1.4671715,
780,5.616293,1.4564763,
781,5.7526207,1.4453315,
782,5.7561283,1.4392731,
783,5.706317,1.439075,
784,6.721026,1.4429401,
785,5.9210615,1.4510603,
786,5.5269585,1.4581697,
787,5.4927287,1.4617273,
788,6.2586093,1.4600604,
789,6.181407,1.4666195,
790,6.839127,1.4711685,
791,6.9581847,1.4681928,
792,5.9223213,1.4656099,
793,5.5442657,1.455632,
794,5.5070257,1.4499073,
795,5.6766896,1.4532385,
796,7.494785,1.44335,
797,7.3832693,1.4455589,
798,6.281811,1.4566205,
799,6.156964,1.4576128,
800,6.5076256,1.5050367,
801,6.715479,1.5091587,
802,7.0319676,1.5132521,
803,6.7302766,1.5099452,
804,6.989311,1.5002682,
805,6.9379783,1.4816183,
806,5.763409,1.4656321,
807,5.4175525,1.474013,
808,4.9748015,1.4753945,
809,4.6538568,1.4733888,
810,4.3971624,1.4606618,
811,4.6403375,1.4535577,
812,4.917972,1.4538598,
813,5.223636,1.4462932,
814,4.72152,1.4414196,
815,4.9549894,1.4496012,
816,5.4117594,1.450256,
817,5.2184763,1.4516032,
818,5.339931,1.4470437,
819,5.0550804,1.4433259,
820,5.0119615,1.441137,
821,5.3186264,1.447566,
822,5.1201754,1.4517667,
823,5.268502,1.4481604,
824,5.2051787,1.44712,
825,5.283632,1.4459562,
826,5.1141987,1.4437096,
827,4.12008,1.4462984,
828,4.588533,1.4470268,
829,4.833423,1.4450967,
830,4.868162,1.4387194,
831,5.705114,1.4324511,
832,5.5670557,1.4280832,
833,5.0878706,1.4259799,
834,5.3791723,1.4381764,
835,5.161997,1.4429501,
836,5.1905584,1.4499017,
837,5.0003858,1.4378808,
838,6.1613336,1.4312952,
839,6.409164,1.4299796,
840,5.4613986,1.427754,
841,5.3233914,1.4396566,
842,5.0345316,1.4501437,
843,4.450027,1.455957,
844,4.595189,1.458836,
845,4.828849,1.4577341,
846,4.9221063,1.4483058,
847,4.801873,1.4439026,
848,4.840569,1.4338349,
849,5.1019926,1.443438,
850,5.372777,1.4459562,
851,5.2696915,1.4437096,
852,4.3710837,1.4462984,
853,4.3710127,1.4470268,
854,4.4195232,1.4450967,
855,5.0898094,1.4387194,
856,5.5378995,1.4324511,
857,5.3458886,1.4280832,
858,5.190454,1.4259799,
859,5.306804,1.4381764,
860,5.2076764,1.4429501,
861,5.1707854,1.4499017,
862,4.9505095,1.4378808,
863,6.2382913,1.4312952,
864,6.146076,1.4299796,
865,5.731466,1.427754,
866,5.302238,1.4396566,
867,5.0660295,1.4501437,
868,4.449713,1.455957,
869,4.6461024,1.458836,
870,5.126166,1.4577341,
871,4.804606,1.4483058,
872,4.8162627,1.4439026,
873,4.8591003,1.4338349,
874,4.92772,1.443438,
875,4.9867625,1.4429785,
876,5.2483897,1.4444238,
877,5.3627076,1.4436936,
878,5.047674,1.4456937,
879,5.2375703,1.4480664,
880,5.4544888,1.4517242,
881,5.6697392,1.4575781,
882,5.5512652,1.4521648,
883,6.0366488,1.4539373,
884,5.098614,1.4523189,
885,4.9676075,1.4508564,
886,4.542653,1.4311825,
887,4.7065563,1.4282184,
888,4.906708,1.4298881,
889,4.644472,1.4367045,
890,4.6046114,1.4440444,
891,4.8681107,1.4469064,
892,4.780265,1.4451364,
893,4.764536,1.4455909,
894,4.919013,1.4442067,
895,4.871189,1.4440913,
896,5.107373,1.4461032,
897,4.887339,1.4450978,
898,4.9628863,1.4506687,
899,4.9600906,1.450513,
900,5.3310337,1.4429785,
901,4.988502,1.4444238,
902,4.987238,1.4436936,
903,5.4142966,1.4456937,
904,5.725056,1.4480664,
905,5.2400374,1.4517242,
906,5.585299,1.4575781,
907,5.667825,1.4521648,
908,6.273965,1.4539373,
909,5.4217963,1.4523189,
910,5.086388,1.4508564,
911,4.4355717,1.4311825,
912,4.6527224,1.4282184,
913,4.993547,1.4298881,
914,4.8822722,1.4367045,
915,4.778018,1.4440444,
916,4.6837068,1.4469064,
917,4.7938366,1.4451364,
918,4.839924,1.4455909,
919,4.8982863,1.4442067,
920,4.890059,1.4440913,
921,4.8551307,1.4461032,
922,4.8354354,1.4450978,
923,4.933196,1.4506687,
924,4.962143,1.450513,
925,5.0901055,1.4452388,
926,5.092234,1.4426061,
927,5.0506024,1.4504813,
928,4.8961473,1.4526693,
929,4.916875,1.4507477,
930,4.8211765,1.4462138,
931,4.7749305,1.4496832,
932,5.0747113,1.4528074,
933,4.9100213,1.4477378,
934,5.6540046,1.4364698,
935,6.0910287,1.4272097,
936,4.3916297,1.4331573,
937,5.101135,1.4324962,
938,5.309405,1.4368731,
939,5.349085,1.4304272,
940,5.12773,1.4287609,
941,5.0919657,1.4402599,
942,5.434757,1.4471647,
943,5.6453133,1.4431413,
944,5.6186733,1.4497322,
945,5.6689515,1.4508802,
946,5.7523117,1.4484409,
947,5.6771913,1.4516852,
